header,organism,mol_type,isolate,isolation_source,host,geo_loc_name,collection_date
OL450365.1,Zika virus,genomic RNA,ZIKV/Haiti/0478/2015,plasma,Homo sapiens,Haiti,08-Oct-2015
OL450364.1,Zika virus,genomic RNA,ZIKV/Haiti/1238/2015,plasma,Homo sapiens,Haiti,13-Apr-2015
OK571913.1,Zika virus,genomic RNA,Homo sapiens/Haiti/0728/2014,plasma,Homo sapiens,Haiti,25-Nov-2014
MN577544.1,Zika virus,genomic RNA,Haiti/0148/2016,plasma,Homo sapiens,Haiti,01-Jun-2016
MN577543.1,Zika virus,genomic RNA,Haiti/1327/2014,plasma,Homo sapiens,Haiti,11-Dec-2014
MN566108.1,Zika virus,genomic RNA,Haiti/0866/2016,plasma,Homo sapiens,Haiti,31-May-2016
MN566107.1,Zika virus,genomic RNA,Haiti/0165/2016,plasma,Homo sapiens,Haiti,31-May-2016
MN566106.1,Zika virus,genomic RNA,Haiti/0395/2016,plasma,Homo sapiens,Haiti,31-May-2016
MN566105.1,Zika virus,genomic RNA,Haiti/0375/2016,plasma,Homo sapiens,Haiti,31-May-2016
MN566104.1,Zika virus,genomic RNA,Haiti/0011/2016,plasma,Homo sapiens,Haiti,31-May-2016
MF783073.1,Zika virus,viral cRNA,,,mosquito,Haiti,10-May-2016
MF783072.1,Zika virus,viral cRNA,,,Aedes aegypti; female,Haiti,27-Jun-2016
MF384325.1,Zika virus,genomic RNA,mosquito/Haiti/1682/2016,,Aedes aegypti (mosquito); male,Haiti,17-May-2016
KY415991.1,Zika virus,genomic RNA,Haiti/0097/2014,plasma,Homo sapiens,Haiti,24-Jun-2014
KY415990.1,Zika virus,genomic RNA,Haiti/0036/2014,plasma,Homo sapiens,Haiti,02-Jun-2014
KY415989.1,Zika virus,genomic RNA,Haiti/0074/2014,plasma,Homo sapiens,Haiti,10-Jun-2014
KY415988.1,Zika virus,genomic RNA,Haiti/0054/2014,plasma,Homo sapiens,Haiti,05-Jun-2014
KY415987.1,Zika virus,genomic RNA,Haiti/0033/2014,plasma,Homo sapiens,Haiti,29-May-2014
KY415986.1,Zika virus,genomic RNA,Haiti/0029/2014,plasma,Homo sapiens,Haiti,29-May-2014
OM964568.1,Zika virus,genomic RNA,BK2763,,Homo sapiens,Thailand,26-Jan-2020
OM964567.1,Zika virus,genomic RNA,BK2504,,Homo sapiens,Thailand,24-Dec-2019
OM964566.1,Zika virus,genomic RNA,BK2351,,Homo sapiens,Thailand,12-Dec-2019
OM964565.1,Zika virus,genomic RNA,BK1463,,Homo sapiens,Thailand,03-Oct-2019
OP281680.1,Zika virus,genomic RNA,NS1-101,,Homo sapiens,Thailand,11-Aug-2006
KU922960.1,Zika virus,genomic RNA,MEX/InDRE/Sm/2016,saliva,"Homo sapiens; female, 22 years old",Mexico: Chiapas,25-Feb-2016
ON586854.1,Zika virus,genomic RNA,Ae.G6,salivary glands,Aedes aegypti,Mexico,22-Oct-2016
ON586853.1,Zika virus,genomic RNA,H.468,serum,Homo sapiens,Mexico,11-Jul-2016
ON586852.1,Zika virus,genomic RNA,Cx.G41,salivary glands,Culex quinquefasciatus,Mexico,28-Sep-2016
OM666893.1,Zika virus,genomic RNA,MCL-21-H-8901_RNA-7140,serum,Homo sapiens,India,22-Jul-2021
OM666892.1,Zika virus,genomic RNA,MCL-21-H-8900_RNA-7139,serum,Homo sapiens,India,22-Jul-2021
OM522327.1,Zika virus,genomic RNA,584,,Homo sapiens,Mexico: Morelos,16-Sep-2021
OL414716.1,Zika virus,genomic RNA,15555,,Homo sapiens,Guinea,Dec-2018
MW123926.1,Zika virus,genomic RNA,ZIKV_IEC_S,,Homo sapiens,Brazil,2015
MW123925.1,Zika virus,genomic RNA,ZIKV_IEC_L,,Homo sapiens,Brazil,2015
MW123923.1,Zika virus,genomic RNA,ZIKV_P17_H,semen,Homo sapiens,Brazil,16-Jun-2016
MW123922.1,Zika virus,genomic RNA,ZIKV_P17_C,semen,Homo sapiens,Brazil,10-May-2016
MW123921.1,Zika virus,genomic RNA,ZIKV_P17_A,semen,Homo sapiens,Brazil,26-Apr-2016
OK054487.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/9467_CZB207/2016,serum,Homo sapiens,Nicaragua,23-Jul-2016
OK054486.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/9275_CZB212/2016,serum,Homo sapiens,Nicaragua,07-Aug-2016
OK054485.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/9172_CZB201/2016,serum,Homo sapiens,Nicaragua,17-Jul-2016
OK054484.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/8376_CZB190/2016,serum,Homo sapiens,Nicaragua,31-Jul-2016
OK054483.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/7502_CHB3148/2016,serum,Homo sapiens,Nicaragua,12-Jul-2016
OK054482.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/6739_CZB164/2016,serum,Homo sapiens,Nicaragua,27-Jul-2016
OK054481.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/6697_CZH230/2016,serum,Homo sapiens,Nicaragua,29-Aug-2016
OK054480.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/6284_CZB220/2016,serum,Homo sapiens,Nicaragua,23-Aug-2016
OK054479.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/6253_CZB221/2016,serum,Homo sapiens,Nicaragua,08-Aug-2016
OK054478.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/6228_CZB222/2016,serum,Homo sapiens,Nicaragua,21-Aug-2016
OK054477.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/7543_CZB152/2016,serum,Homo sapiens,Nicaragua,16-Aug-2016
OK054476.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/7514_CHB3150/2016,serum,Homo sapiens,Nicaragua,30-Aug-2016
OK054475.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/5926_CZB158/2016,serum,Homo sapiens,Nicaragua,12-Sep-2016
OK054474.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/5802_CZB229/2016,serum,Homo sapiens,Nicaragua,02-Sep-2016
OK054473.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/5605_CZB228/2016,serum,Homo sapiens,Nicaragua,04-Jul-2016
OK054472.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/5541_CZB124/2016,serum,Homo sapiens,Nicaragua,19-Aug-2016
OK054471.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/6219_CZB140/2016,serum,Homo sapiens,Nicaragua,26-Aug-2016
OK054470.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/5005_CHB3149/2016,serum,Homo sapiens,Nicaragua,22-Apr-2016
OK054469.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/4886_CZB170/2016,serum,Homo sapiens,Nicaragua,10-Jul-2016
OK054468.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/8016_CZB139/2016,serum,Homo sapiens,Nicaragua,27-Jul-2016
OK054467.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/6681_CHB3153/2016,serum,Homo sapiens,Nicaragua,09-Jul-2016
OK054466.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/4858_CZB168/2016,serum,Homo sapiens,Nicaragua,13-Jul-2016
OK054465.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/4825_CHB3144/2016,serum,Homo sapiens,Nicaragua,12-Jul-2016
OK054464.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/8305_CZB166/2016,serum,Homo sapiens,Nicaragua,15-Aug-2016
OK054463.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/7504_CZB150/2016,serum,Homo sapiens,Nicaragua,14-Aug-2016
OK054462.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/5660_CZB134/2016,serum,Homo sapiens,Nicaragua,27-Jul-2016
OK054461.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/5242_CZB132/2016,serum,Homo sapiens,Nicaragua,01-Feb-2016
OK054460.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/4797_CHB3167/2016,serum,Homo sapiens,Nicaragua,14-Aug-2016
OK054459.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/4723_CHB3166/2016,serum,Homo sapiens,Nicaragua,12-Jul-2016
OK054458.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/4203_CHB3157/2016,serum,Homo sapiens,Nicaragua,06-Aug-2016
OK054457.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/8437_CZB126/2016,serum,Homo sapiens,Nicaragua,24-Jul-2016
OK054456.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/8280_CZB123/2016,serum,Homo sapiens,Nicaragua,18-Sep-2016
OK054455.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/5144_CZB130/2016,serum,Homo sapiens,Nicaragua,23-Jul-2016
OK054454.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/4515_CZB163/2016,serum,Homo sapiens,Nicaragua,16-Jul-2016
OK054453.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/4187_CZB133/2016,serum,Homo sapiens,Nicaragua,27-Jul-2016
OK054452.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/9261_CZB214/2016,serum,Homo sapiens,Nicaragua,03-Aug-2016
OK054451.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/9259_CZB215/2016,serum,Homo sapiens,Nicaragua,28-Jul-2016
OK054450.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/9202_CZB217/2016,serum,Homo sapiens,Nicaragua,24-Aug-2016
OK054449.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/8525_CZB196/2016,serum,Homo sapiens,Nicaragua,07-Aug-2016
OK054448.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/8155_CHB3164/2016,serum,Homo sapiens,Nicaragua,26-Jul-2016
OK054447.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/7119_CZB121/2016,serum,Homo sapiens,Nicaragua,25-Aug-2016
OK054446.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/6173_CHB3162/2016,serum,Homo sapiens,Nicaragua,19-Aug-2016
OK054445.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/5966_CZB159/2016,serum,Homo sapiens,Nicaragua,18-Jul-2016
OK054444.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/5604_CZB227/2016,serum,Homo sapiens,Nicaragua,07-Feb-2016
OK054443.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/5540_CZB226/2016,serum,Homo sapiens,Nicaragua,15-Aug-2016
OK054442.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/4105_CZH220/2016,serum,Homo sapiens,Nicaragua,14-Aug-2016
OK054441.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/4069_CZH219/2016,serum,Homo sapiens,Nicaragua,03-Aug-2016
OK054440.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/3758_CZH218/2016,serum,Homo sapiens,Nicaragua,13-Jul-2016
OK054439.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/8438_CZB151/2016,serum,Homo sapiens,Nicaragua,24-Jul-2016
OK054438.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/8385_CHB3147/2016,serum,Homo sapiens,Nicaragua,13-Jan-2016
OK054437.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/8186_CHB3165/2016,serum,Homo sapiens,Nicaragua,05-Aug-2016
OK054436.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/7933_CHB3160/2016,serum,Homo sapiens,Nicaragua,14-Jul-2016
OK054435.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/7864_CHB3158/2016,serum,Homo sapiens,Nicaragua,25-Jul-2016
OK054434.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/7706_CZB180/2016,serum,Homo sapiens,Nicaragua,12-Aug-2016
OK054433.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/7673_CZB156/2016,serum,Homo sapiens,Nicaragua,29-Jul-2016
OK054432.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/5834_CZB128/2016,serum,Homo sapiens,Nicaragua,26-Aug-2016
OK054431.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/5575_CZB149/2016,serum,Homo sapiens,Nicaragua,04-Aug-2016
OK054430.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/5506_CZB169/2016,serum,Homo sapiens,Nicaragua,26-Jul-2016
OK054429.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/5406_CZB146/2016,serum,Homo sapiens,Nicaragua,02-Aug-2016
OK054428.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/2007_CZH214/2016,serum,Homo sapiens,Nicaragua,03-Aug-2016
OK054427.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/1369_CZH211/2016,serum,Homo sapiens,Nicaragua,28-Jul-2016
OK054426.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/769_CZB179/2016,serum,Homo sapiens,Nicaragua,30-Sep-2016
OK054425.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/150_CZH161/2016,serum,Homo sapiens,Nicaragua,07-Sep-2016
OK054424.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/9262_CZB213/2016,serum,Homo sapiens,Nicaragua,25-Jul-2016
OK054423.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/9234_CZB216/2016,serum,Homo sapiens,Nicaragua,23-Jul-2016
OK054422.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/9181_CZB202/2016,serum,Homo sapiens,Nicaragua,09-Aug-2016
OK054421.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/8689_CZB199/2016,serum,Homo sapiens,Nicaragua,30-Jul-2016
OK054420.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/8583_CZB198/2016,serum,Homo sapiens,Nicaragua,19-Aug-2016
OK054419.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/8389_CZB147/2016,serum,Homo sapiens,Nicaragua,22-Jul-2016
OK054418.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/8298_CZB165/2016,serum,Homo sapiens,Nicaragua,22-Jul-2016
OK054417.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/8079_CZH181/2016,serum,Homo sapiens,Nicaragua,08-Sep-2016
OK054416.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/8065_CHB3163/2016,serum,Homo sapiens,Nicaragua,25-Jul-2016
OK054415.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/7683_CZB177/2016,serum,Homo sapiens,Nicaragua,02-Aug-2016
OK054414.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/7550_CZB154/2016,serum,Homo sapiens,Nicaragua,25-Jul-2016
OK054413.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/7547_CHB3152/2016,serum,Homo sapiens,Nicaragua,31-Jul-2016
OK054412.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/7311_CZB192/2016,serum,Homo sapiens,Nicaragua,25-Aug-2016
OK054411.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/7253_CZH177/2016,serum,Homo sapiens,Nicaragua,29-Aug-2016
OK054410.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/7193_CHB3146/2016,serum,Homo sapiens,Nicaragua,28-Jul-2016
OK054409.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/7180_CZB122/2016,serum,Homo sapiens,Nicaragua,09-Aug-2016
OK054408.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/7083_CHB3155/2016,serum,Homo sapiens,Nicaragua,20-Aug-2016
OK054407.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/6799_CHB3154/2016,serum,Homo sapiens,Nicaragua,29-Jul-2016
OK054406.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/6775_CZB144/2016,serum,Homo sapiens,Nicaragua,28-Jul-2016
OK054405.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/6720_CZB143/2016,serum,Homo sapiens,Nicaragua,26-Feb-2016
OK054404.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/6661_CZB218/2016,serum,Homo sapiens,Nicaragua,01-Aug-2016
OK054403.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/6316_CZB219/2016,serum,Homo sapiens,Nicaragua,29-Sep-2016
OK054402.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/6215_CZB141/2016,serum,Homo sapiens,Nicaragua,12-Jul-2016
OK054401.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/6153_CZB160/2016,serum,Homo sapiens,Nicaragua,31-Jul-2016
OK054400.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/5962_CHB3156/2016,serum,Homo sapiens,Nicaragua,05-Aug-2016
OK054399.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/5894_CZB175/2016,serum,Homo sapiens,Nicaragua,13-Jul-2016
OK054398.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/5893_CZB127/2016,serum,Homo sapiens,Nicaragua,29-Jul-2016
OK054397.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/5886_CZB194/2016,serum,Homo sapiens,Nicaragua,29-Jul-2016
OK054396.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/5376_CZB225/2016,serum,Homo sapiens,Nicaragua,07-Jul-2016
OK054395.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/5355_CZB145/2016,serum,Homo sapiens,Nicaragua,21-Jul-2016
OK054394.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/5149_CZB131/2016,serum,Homo sapiens,Nicaragua,15-Aug-2016
OK054393.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/5072_CHB3151/2016,serum,Homo sapiens,Nicaragua,15-Jul-2016
OK054392.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/5066_CZB195/2016,serum,Homo sapiens,Nicaragua,27-Jul-2016
OK054391.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/4963_CZB125/2016,serum,Homo sapiens,Nicaragua,25-Jul-2016
OK054390.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/4875_CZB191/2016,serum,Homo sapiens,Nicaragua,15-Jul-2016
OK054389.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/4521_CZB142/2016,serum,Homo sapiens,Nicaragua,29-Jul-2016
OK054388.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/4456_CZB162/2016,serum,Homo sapiens,Nicaragua,28-Jun-2016
OK054387.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/4394_CHB3161/2016,serum,Homo sapiens,Nicaragua,11-Oct-2016
OK054386.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/4359_CZB137/2016,serum,Homo sapiens,Nicaragua,05-Aug-2016
OK054385.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/4305_CHB3159/2016,serum,Homo sapiens,Nicaragua,23-Jul-2016
OK054384.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/3524_CZH217/2016,serum,Homo sapiens,Nicaragua,16-Jul-2016
OK054383.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/3511_CZH216/2016,serum,Homo sapiens,Nicaragua,27-Sep-2016
OK054382.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/1535_CZH213/2016,serum,Homo sapiens,Nicaragua,15-Aug-2016
OK054381.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/9417_CZB208/2016,serum,Homo sapiens,Nicaragua,18-Aug-2016
OK054374.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/2558_CZH215/2016,serum,Homo sapiens,Nicaragua,26-Jul-2016
OK054373.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/9367_CZB210/2016,serum,Homo sapiens,Nicaragua,15-Aug-2016
OK054372.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/1507_CZH212/2016,serum,Homo sapiens,Nicaragua,18-Aug-2016
OK054371.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/6669_CZB223/2016,serum,Homo sapiens,Nicaragua,23-Aug-2016
OK054370.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/6709_CZH165/2016,serum,Homo sapiens,Nicaragua,03-Oct-2016
OK054369.1,Zika virus,genomic RNA,ZIKV/Homo_Sapiens/NIC/8397_CZB193/2016,serum,Homo sapiens,Nicaragua,24-Aug-2016
MT377504.1,Zika virus,genomic RNA,NS-110/2006,serum,Homo sapiens,Thailand,06-Sep-2006
MT377503.1,Zika virus,genomic RNA,15-1144,serum,Homo sapiens,Thailand,27-Aug-2015
MT377502.1,Zika virus,genomic RNA,NS-274/2006,serum,Homo sapiens,Thailand,28-Oct-2006
MT377498.1,Zika virus,genomic RNA,MU-DMSC-4/2016,serum,Homo sapiens,Thailand: Bueng Kan,26-Apr-2016
MT377497.1,Zika virus,genomic RNA,MU-DMSC-3/2016,urine,Homo sapiens,Thailand: Rayong,25-Nov-2016
MT377494.1,Zika virus,genomic RNA,MU-DMSC-3/2017,serum,Homo sapiens,Thailand: Samut Sakorn,24-Nov-2017
MT377492.1,Zika virus,genomic RNA,MU-DMSC-1/2016,brain stem,Homo sapiens,Thailand: Bangkok,20-Mar-2016
MW143022.1,Zika virus,genomic RNA,,,,Uganda,1947
MW143021.1,Zika virus,genomic RNA,,,,Uganda,1947
MW143020.1,Zika virus,genomic RNA,,,,Uganda,1947
MW143019.1,Zika virus,genomic RNA,,,,Uganda,1947
MW143018.1,Zika virus,genomic RNA,,,,Uganda,1947
MW143017.1,Zika virus,genomic RNA,,,,Uganda,1947
MW915414.1,Zika virus,genomic RNA,8607,,Homo sapiens,Viet Nam,22-Nov-2016
MW915412.1,Zika virus,genomic RNA,7040,,Homo sapiens,Viet Nam,06-Oct-2016
MW915411.1,Zika virus,genomic RNA,3015,,Homo sapiens,Viet Nam,02-Apr-2016
MW680970.1,Zika virus,genomic RNA,rGZ02p/2018,,Homo sapiens,China,24-Jan-2018
MW165884.1,Zika virus,genomic RNA,USVI/43/2016,serum,Homo sapiens,Virgin Islands: Saint Thomas,19-Jul-2016
MW165883.1,Zika virus,genomic RNA,USVI/35/2016,serum,Homo sapiens,Virgin Islands: Saint Thomas,08-Sep-2016
MW165882.1,Zika virus,genomic RNA,USVI/25/2016,serum,Homo sapiens,Virgin Islands: Saint Thomas,27-Sep-2016
MW165881.1,Zika virus,genomic RNA,USVI/5/2016,serum,Homo sapiens,Virgin Islands: Saint Thomas,17-Oct-2016
MW165880.1,Zika virus,genomic RNA,USVI/4/2016,serum,Homo sapiens,Virgin Islands: Saint Thomas,14-Oct-2016
MT439647.1,Zika virus,genomic RNA,1860_16,serum,Homo sapiens,Brazil,14-Apr-2016
MT439646.1,Zika virus,genomic RNA,1820_16,serum,Homo sapiens,Brazil,06-Apr-2016
MT439645.1,Zika virus,genomic RNA,1008_16,serum,Homo sapiens,Brazil,18-Mar-2016
MT439644.1,Zika virus,genomic RNA,2012_16,serum,Homo sapiens,Brazil,20-Apr-2016
MT439643.1,Zika virus,genomic RNA,1685_16,serum,Homo sapiens,Brazil,12-Apr-2016
MT439642.1,Zika virus,genomic RNA,1609_16,serum,Homo sapiens,Brazil,06-Apr-2016
MT439641.1,Zika virus,genomic RNA,1524_16,serum,Homo sapiens,Brazil,05-Apr-2016
MW122455.1,Zika virus,genomic RNA,PR/DB-ZIKV1034/2017,serum,Homo sapiens,Puerto Rico,19-Jan-2017
MW122454.1,Zika virus,genomic RNA,PR/DB-ZIKV852/2016,serum,Homo sapiens,Puerto Rico,27-Jun-2016
MW122453.1,Zika virus,genomic RNA,PR/DB-ZIKV461/2016,serum,Homo sapiens,Puerto Rico,27-Jul-2016
MW122452.1,Zika virus,genomic RNA,PR/DB-ZIKV375/2017,serum,Homo sapiens,Puerto Rico,19-Jan-2017
MW012428.1,Zika virus,genomic RNA,V1R,semen,Homo sapiens; male,Trinidad and Tobago,2016
MW012427.1,Zika virus,genomic RNA,T2R,semen,Homo sapiens; male,Trinidad and Tobago,2016
MW015936.1,Zika virus,genomic RNA,Zika virus/H.sapiens-tc/THA/2006/CVD_06-020,serum,Homo sapiens,Thailand,11-Aug-2006
MW008559.1,Zika virus,genomic RNA,E3R,,"Homo sapiens; male, age 29",Trinidad and Tobago,15-Aug-2016
MH544701.2,Zika virus,genomic RNA,459148_Meta_Colombia_2016,,,Colombia,2016-01-17
MN101548.1,Zika virus,genomic RNA,Salvador,,Aedes albopictus C636,Brazil,11-Nov-2017
MT505350.1,Zika virus,genomic RNA,DK23,,,USA,19-May-2020
MT505349.1,Zika virus,genomic RNA,DK,,,USA,19-May-2020
MT507050.1,Zika virus,genomic RNA,S-542/Yucatan/2017,,Homo sapiens,Mexico,2017
MT507049.1,Zika virus,genomic RNA,S-542/Yucatan/2017,,Homo sapiens,Mexico,2017
MT507048.1,Zika virus,genomic RNA,S-542/Yucatan/2017,,Homo sapiens,Mexico,2017
MT507047.1,Zika virus,genomic RNA,S-542/Yucatan/2017,,Homo sapiens,Mexico,2017
MK566202.1,Zika virus,genomic RNA,15098,,,Brazil,Mar-2015
MK269359.1,Zika virus,genomic RNA,FLUR100,urine,Homo sapiens,USA,18-Aug-2016
MK269354.1,Zika virus,genomic RNA,FLSR077,serum,Homo sapiens,USA,20-Aug-2016
MK241417.1,Zika virus,genomic RNA,ZIKV/Homo_sapiens/CPV/2016/CV907u,urine,Homo sapiens,Cape Verde: Fogo,04-Jun-2016
MK241416.1,Zika virus,genomic RNA,ZIKV/Homo_sapiens/CPV/2015/CV487,serum,Homo sapiens,Cape Verde: Fogo,27-Nov-2015
MK241415.1,Zika virus,genomic RNA,ZIKV/Homo_sapiens/CPV/2015/CV448c,blood,Homo sapiens,Cape Verde: Santiago,03-Dec-2015
MN611472.1,Zika virus,genomic RNA,2019YNZIKV02,plasma,Homo sapiens,China,01-Jul-2019
MN577550.1,Zika virus,genomic RNA,ZIKV-Nicaragua/2016-UCB7420,,Homo sapiens; F; 12 years,Nicaragua: Managua,19-Jan-2016
MN473454.1,Zika virus,genomic RNA,96626,,Homo sapiens,Canada,2016
MN473453.1,Zika virus,genomic RNA,96625,,Homo sapiens,Canada,2016
MN473452.1,Zika virus,genomic RNA,96624,,Homo sapiens,Canada,2016
MN473451.1,Zika virus,genomic RNA,96623,,Homo sapiens,Canada,2016
MN185332.1,Zika virus,genomic RNA,Guadeloupe_Aedes_aegypti_T633,,Aedes aegypti,Guadeloupe,2016
